player,nationality,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,34.8,39.0,24,15.0,14.0,10.0,12.0,50.0,24.0,38.0,573.0,130.0,22.7,113.0,256.0,204.0,59.0,2.0,0.0,57.0,11,50,16.0,0.0,Arsenal,FW,
David Luiz,br BRA,32.0,31.2,33.0,20,22.0,10.0,1.0,10.0,26.0,38.5,16.0,191.0,66.0,34.6,143.0,43.0,5.0,63.0,40.0,0.0,23.0,30,63,183.0,3.0,Arsenal,DF,
Bernd Leno,de GER,27.0,29.4,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,28.7,46.0,27,27.0,15.0,4.0,18.0,55.0,32.7,37.0,433.0,126.0,29.1,157.0,232.0,44.0,55.0,17.0,1.0,38.0,21,67,85.0,0.0,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,22.3,30.0,19,14.0,13.0,3.0,11.0,23.0,47.8,12.0,354.0,89.0,25.1,94.0,156.0,104.0,20.0,2.0,0.0,18.0,7,37,3.0,0.0,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,20.8,23.0,19,6.0,12.0,5.0,4.0,17.0,23.5,13.0,464.0,114.0,24.6,55.0,220.0,189.0,13.0,0.0,0.0,13.0,7,30,14.0,0.0,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,19.5,38.0,22,20.0,11.0,7.0,13.0,33.0,39.4,20.0,288.0,84.0,29.2,105.0,106.0,77.0,25.0,4.0,0.0,21.0,12,50,21.0,1.0,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,19.4,24.0,13,11.0,9.0,4.0,10.0,36.0,27.8,26.0,384.0,109.0,28.4,158.0,175.0,51.0,40.0,7.0,0.0,33.0,30,54,48.0,0.0,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,18.9,35.0,18,22.0,6.0,7.0,12.0,25.0,48.0,13.0,230.0,67.0,29.1,116.0,81.0,33.0,23.0,5.0,0.0,18.0,24,59,45.0,1.0,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,18.8,23.0,13,17.0,5.0,1.0,11.0,25.0,44.0,14.0,181.0,51.0,28.2,121.0,55.0,5.0,41.0,22.0,0.0,19.0,14,37,108.0,0.0,Arsenal,DF,
Dani Ceballos,es ESP,22.0,18.8,49.0,28,25.0,17.0,7.0,17.0,62.0,27.4,45.0,445.0,120.0,27.0,197.0,191.0,57.0,29.0,4.0,0.0,25.0,30,79,22.0,1.0,Arsenal,MF,
Mesut Özil,de GER,30.0,16.0,13.0,10,9.0,4.0,0.0,2.0,19.0,10.5,17.0,305.0,63.0,20.7,67.0,178.0,60.0,9.0,0.0,0.0,9.0,5,18,3.0,0.0,Arsenal,MF,
Lucas Torreira,uy URU,23.0,16.8,37.0,24,17.0,16.0,4.0,12.0,34.0,35.3,22.0,403.0,102.0,25.3,156.0,200.0,47.0,29.0,9.0,0.0,20.0,31,68,30.0,1.0,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,15.4,41.0,27,30.0,9.0,2.0,14.0,42.0,33.3,28.0,297.0,84.0,28.3,179.0,86.0,32.0,29.0,5.0,0.0,24.0,29,70,41.0,0.0,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,13.4,14.0,9,9.0,4.0,1.0,2.0,13.0,15.4,11.0,108.0,36.0,33.3,52.0,50.0,6.0,15.0,7.0,0.0,8.0,18,32,111.0,2.0,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,12.9,23.0,16,12.0,7.0,4.0,9.0,31.0,29.0,22.0,183.0,46.0,25.1,71.0,87.0,25.0,28.0,4.0,0.0,24.0,18,41,34.0,0.0,Arsenal,DF,
Calum Chambers,eng ENG,24.0,12.2,25.0,18,14.0,8.0,3.0,9.0,12.0,75.0,3.0,143.0,51.0,35.7,77.0,41.0,25.0,21.0,7.0,0.0,14.0,15,40,61.0,0.0,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,11.0,21.0,11,12.0,5.0,4.0,10.0,15.0,66.7,5.0,126.0,39.0,31.0,62.0,51.0,13.0,22.0,4.0,0.0,18.0,9,30,44.0,0.0,Arsenal,DF,
Joe Willock,eng ENG,19.0,9.5,22.0,15,6.0,10.0,6.0,4.0,20.0,20.0,16.0,242.0,67.0,27.7,76.0,128.0,38.0,19.0,5.0,1.0,14.0,3,25,12.0,0.0,Arsenal,MF,FW
Emiliano Martínez,ar ARG,26.0,8.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,Arsenal,GK,
Eddie Nketiah,eng ENG,20.0,7.0,10.0,7,4.0,5.0,1.0,2.0,7.0,28.6,5.0,163.0,39.0,23.9,11.0,78.0,74.0,5.0,0.0,0.0,5.0,1,11,4.0,0.0,Arsenal,FW,
Reiss Nelson,eng ENG,19.0,7.0,12.0,6,8.0,3.0,1.0,8.0,14.0,57.1,6.0,164.0,31.0,18.9,52.0,69.0,43.0,13.0,1.0,0.0,12.0,3,15,2.0,0.0,Arsenal,FW,
Martinelli,br BRA,18.0,7.4,23.0,13,12.0,9.0,2.0,6.0,17.0,35.3,11.0,247.0,69.0,27.9,88.0,101.0,58.0,20.0,1.0,0.0,19.0,3,26,7.0,0.0,Arsenal,FW,
Rob Holding,eng ENG,23.0,6.5,6.0,3,5.0,1.0,0.0,2.0,3.0,66.7,1.0,47.0,14.0,29.8,32.0,10.0,5.0,19.0,6.0,0.0,13.0,5,11,45.0,2.0,Arsenal,DF,
Nacho Monreal,es ESP,33.0,3.0,4.0,4,3.0,1.0,0.0,1.0,3.0,33.3,2.0,34.0,10.0,29.4,19.0,13.0,2.0,3.0,1.0,0.0,2.0,3,7,17.0,0.0,Arsenal,DF,
Cédric Soares,pt POR,27.0,2.8,6.0,5,2.0,4.0,0.0,2.0,5.0,40.0,3.0,55.0,15.0,27.3,23.0,26.0,6.0,10.0,0.0,0.0,10.0,3,9,2.0,0.0,Arsenal,DF,
Pablo Marí,es ESP,25.0,1.3,3.0,1,2.0,1.0,0.0,1.0,2.0,50.0,1.0,11.0,3.0,27.3,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1,4,14.0,0.0,Arsenal,DF,
Henrikh Mkhitaryan,am ARM,30.0,1.2,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,32.0,8.0,25.0,4.0,16.0,12.0,2.0,0.0,0.0,2.0,0,0,1.0,0.0,Arsenal,FW,
Emile Smith-Rowe,eng ENG,19.0,1.1,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,22.0,7.0,31.8,6.0,10.0,6.0,1.0,0.0,0.0,1.0,1,2,3.0,0.0,Arsenal,MF,
Jack Grealish,eng ENG,23.0,35.9,36.0,28,13.0,14.0,9.0,8.0,31.0,25.8,23.0,574.0,154.0,26.8,161.0,231.0,182.0,55.0,12.0,0.0,43.0,25,61,13.0,1.0,Aston Villa,FW,MF
Tyrone Mings,eng ENG,26.0,32.2,25.0,17,18.0,6.0,1.0,10.0,18.0,55.6,8.0,160.0,66.0,41.3,106.0,43.0,11.0,72.0,55.0,2.0,17.0,33,58,223.0,7.0,Aston Villa,DF,
Douglas Luiz,br BRA,21.0,29.0,52.0,33,34.0,14.0,4.0,19.0,66.0,28.8,47.0,592.0,155.0,26.2,263.0,263.0,66.0,64.0,18.0,1.0,46.0,36,88,44.0,2.0,Aston Villa,MF,
John McGinn,sco SCO,24.0,25.7,59.0,41,24.0,22.0,13.0,20.0,66.0,30.3,46.0,508.0,144.0,28.3,137.0,254.0,117.0,32.0,2.0,0.0,30.0,25,84,20.0,1.0,Aston Villa,MF,
Matt Targett,eng ENG,23.0,25.5,57.0,33,38.0,16.0,3.0,20.0,56.0,35.7,36.0,372.0,109.0,29.3,184.0,145.0,43.0,68.0,9.0,0.0,59.0,60,117,88.0,1.0,Aston Villa,DF,
Anwar El Ghazi,nl NED,24.0,22.8,17.0,10,10.0,5.0,2.0,5.0,24.0,20.8,19.0,350.0,74.0,21.1,70.0,163.0,117.0,18.0,1.0,0.0,17.0,12,29,12.0,0.0,Aston Villa,FW,MF
Ezri Konsa,eng ENG,21.0,22.7,27.0,18,20.0,7.0,0.0,6.0,16.0,37.5,10.0,193.0,63.0,32.6,107.0,65.0,21.0,55.0,23.0,0.0,32.0,21,48,83.0,3.0,Aston Villa,DF,
Frederic Guilbert,fr FRA,24.0,22.7,82.0,38,50.0,22.0,10.0,34.0,74.0,45.9,40.0,416.0,115.0,27.6,228.0,133.0,55.0,65.0,13.0,0.0,52.0,48,130,87.0,1.0,Aston Villa,DF,
Wesley Moraes,br BRA,22.0,19.8,14.0,10,2.0,6.0,6.0,0.0,5.0,0.0,5.0,313.0,78.0,24.9,17.0,145.0,151.0,18.0,6.0,0.0,12.0,4,18,26.0,0.0,Aston Villa,FW,
Trézéguet,eg EGY,24.0,21.7,42.0,28,20.0,14.0,8.0,7.0,42.0,16.7,35.0,530.0,129.0,24.3,163.0,231.0,136.0,41.0,2.0,0.0,39.0,26,68,17.0,0.0,Aston Villa,FW,MF
Tom Heaton,eng ENG,33.0,19.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,Aston Villa,GK,
Marvelous Nakamba,zw ZIM,25.0,20.4,65.0,47,32.0,29.0,4.0,15.0,68.0,22.1,53.0,491.0,168.0,34.2,212.0,240.0,39.0,61.0,11.0,0.0,50.0,38,103,34.0,1.0,Aston Villa,MF,
Conor Hourihane,ie IRL,28.0,17.0,21.0,14,5.0,12.0,4.0,8.0,24.0,33.3,16.0,224.0,38.0,17.0,68.0,103.0,53.0,27.0,6.0,0.0,21.0,12,33,24.0,0.0,Aston Villa,MF,
Kortney Hause,eng ENG,24.0,17.2,27.0,22,23.0,2.0,2.0,11.0,22.0,50.0,11.0,182.0,73.0,40.1,112.0,59.0,11.0,46.0,22.0,1.0,24.0,20,47,114.0,5.0,Aston Villa,DF,
Björn Engels,be BEL,24.0,16.1,9.0,4,7.0,2.0,0.0,5.0,11.0,45.5,6.0,81.0,29.0,35.8,54.0,26.0,1.0,26.0,19.0,0.0,7.0,29,38,111.0,2.0,Aston Villa,DF,
Pepe Reina,es ESP,36.0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Aston Villa,GK,
Neil Taylor,wal WAL,30.0,12.1,19.0,9,14.0,5.0,0.0,9.0,21.0,42.9,12.0,121.0,33.0,27.3,61.0,53.0,7.0,38.0,5.0,0.0,33.0,20,39,32.0,0.0,Aston Villa,DF,
Ahmed Elmohamady,eg EGY,31.0,11.5,25.0,17,17.0,6.0,2.0,10.0,22.0,45.5,12.0,109.0,28.0,25.7,56.0,40.0,13.0,11.0,5.0,0.0,6.0,13,38,29.0,0.0,Aston Villa,DF,
Mbwana Samatta,tz TAN,26.0,10.5,9.0,7,1.0,6.0,2.0,1.0,9.0,11.1,8.0,173.0,45.0,26.0,7.0,84.0,82.0,8.0,1.0,0.0,7.0,1,10,6.0,0.0,Aston Villa,FW,
Ørjan Nyland,no NOR,28.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Aston Villa,GK,
Keinan Davis,eng ENG,21.0,6.1,2.0,2,0.0,2.0,0.0,0.0,3.0,0.0,3.0,88.0,19.0,21.6,3.0,50.0,35.0,5.0,1.0,0.0,4.0,0,2,3.0,0.0,Aston Villa,FW,
Jota,es ESP,28.0,3.7,3.0,2,1.0,1.0,1.0,2.0,9.0,22.2,7.0,119.0,17.0,14.3,43.0,52.0,24.0,3.0,0.0,0.0,3.0,3,6,6.0,0.0,Aston Villa,FW,MF
Danny Drinkwater,eng ENG,29.0,2.9,9.0,5,6.0,2.0,1.0,1.0,13.0,7.7,12.0,106.0,22.0,20.8,36.0,58.0,12.0,3.0,0.0,0.0,3.0,5,14,4.0,1.0,Aston Villa,MF,
Henri Lansbury,eng ENG,28.0,2.2,5.0,2,3.0,1.0,1.0,0.0,4.0,0.0,4.0,61.0,18.0,29.5,24.0,18.0,19.0,6.0,0.0,0.0,6.0,0,5,1.0,0.0,Aston Villa,MF,
Jed Steer,eng ENG,26.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Aston Villa,GK,
Jonathan Kodjia,ci CIV,29.0,1.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,9.0,27.3,6.0,15.0,12.0,2.0,2.0,0.0,0.0,0,0,2.0,0.0,Aston Villa,FW,MF
Indiana Vassilev,us USA,18.0,0.6,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,24.0,7.0,29.2,3.0,7.0,14.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,Aston Villa,FW,MF
Borja Bastón,es ESP,26.0,0.2,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,10.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0,0,1.0,1.0,Aston Villa,MF,FW
Aaron Ramsdale,eng ENG,21.0,37.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,1.0,12.5,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,2.0,Bournemouth,GK,
Callum Wilson,eng ENG,27.0,32.3,15.0,12,2.0,6.0,7.0,1.0,14.0,7.1,13.0,770.0,206.0,26.8,53.0,323.0,394.0,18.0,2.0,0.0,16.0,3,18,15.0,0.0,Bournemouth,FW,
Jefferson Lerma,co COL,24.0,30.0,81.0,49,28.0,47.0,6.0,29.0,62.0,46.8,33.0,576.0,173.0,30.0,205.0,323.0,48.0,50.0,12.0,0.0,38.0,54,135,69.0,0.0,Bournemouth,MF,
Philip Billing,dk DEN,23.0,28.1,76.0,46,29.0,39.0,8.0,17.0,67.0,25.4,50.0,692.0,164.0,23.7,209.0,382.0,101.0,88.0,17.0,0.0,71.0,71,147,117.0,1.0,Bournemouth,MF,
Nathan Aké,nl NED,24.0,27.8,25.0,11,20.0,5.0,0.0,7.0,24.0,29.2,17.0,222.0,66.0,29.7,146.0,66.0,10.0,59.0,30.0,0.0,29.0,33,58,176.0,1.0,Bournemouth,DF,
Steve Cook,eng ENG,28.0,27.0,22.0,13,15.0,7.0,0.0,9.0,23.0,39.1,14.0,164.0,55.0,33.5,111.0,44.0,9.0,47.0,28.0,0.0,19.0,45,67,222.0,1.0,Bournemouth,DF,
Diego Rico,es ESP,26.0,25.9,65.0,42,41.0,21.0,3.0,18.0,56.0,32.1,38.0,406.0,126.0,31.0,209.0,138.0,59.0,82.0,6.0,0.0,76.0,80,145,99.0,0.0,Bournemouth,DF,
Adam Smith,eng ENG,28.0,22.8,52.0,30,32.0,15.0,5.0,24.0,54.0,44.4,30.0,406.0,111.0,27.3,182.0,155.0,69.0,56.0,6.0,1.0,50.0,25,77,53.0,0.0,Bournemouth,DF,
Joshua King,no NOR,27.0,22.3,19.0,15,8.0,7.0,4.0,2.0,15.0,13.3,13.0,496.0,123.0,24.8,80.0,219.0,197.0,27.0,4.0,0.0,23.0,5,24,11.0,0.0,Bournemouth,FW,MF
Ryan Fraser,sco SCO,25.0,23.0,9.0,8,3.0,3.0,3.0,4.0,17.0,23.5,13.0,298.0,65.0,21.8,79.0,122.0,97.0,28.0,3.0,2.0,25.0,16,25,18.0,0.0,Bournemouth,MF,FW
Harry Wilson,wal WAL,22.0,18.3,25.0,11,7.0,12.0,6.0,13.0,36.0,36.1,23.0,411.0,96.0,23.4,135.0,193.0,83.0,38.0,3.0,0.0,35.0,12,37,21.0,0.0,Bournemouth,MF,FW
Dominic Solanke,eng ENG,21.0,18.3,11.0,10,2.0,9.0,0.0,3.0,27.0,11.1,24.0,643.0,151.0,23.5,84.0,319.0,240.0,19.0,5.0,0.0,14.0,8,19,21.0,0.0,Bournemouth,FW,MF
Jack Stacey,eng ENG,23.0,17.2,21.0,13,13.0,5.0,3.0,5.0,21.0,23.8,16.0,241.0,62.0,25.7,116.0,80.0,45.0,41.0,9.0,0.0,32.0,21,42,53.0,1.0,Bournemouth,DF,
Lewis Cook,eng ENG,22.0,15.0,27.0,16,15.0,10.0,2.0,8.0,40.0,20.0,32.0,375.0,71.0,18.9,125.0,197.0,53.0,20.0,6.0,0.0,14.0,21,48,15.0,0.0,Bournemouth,MF,
Dan Gosling,eng ENG,29.0,14.0,28.0,20,16.0,8.0,4.0,7.0,30.0,23.3,23.0,357.0,93.0,26.1,133.0,149.0,75.0,38.0,11.0,0.0,27.0,20,48,27.0,0.0,Bournemouth,MF,
Simon Francis,eng ENG,34.0,10.8,17.0,12,13.0,4.0,0.0,11.0,25.0,44.0,14.0,107.0,29.0,27.1,71.0,24.0,12.0,29.0,14.0,0.0,15.0,20,37,91.0,2.0,Bournemouth,DF,
Chris Mepham,wal WAL,21.0,10.1,23.0,14,14.0,9.0,0.0,9.0,16.0,56.3,7.0,132.0,49.0,37.1,83.0,42.0,7.0,20.0,12.0,0.0,8.0,17,40,75.0,1.0,Bournemouth,DF,
David Brooks,wal WAL,22.0,5.6,4.0,3,1.0,1.0,2.0,0.0,15.0,0.0,15.0,102.0,20.0,19.6,28.0,48.0,26.0,7.0,1.0,0.0,6.0,3,7,3.0,0.0,Bournemouth,MF,
Junior Stanislas,eng ENG,29.0,7.9,10.0,6,2.0,2.0,6.0,4.0,9.0,44.4,5.0,107.0,34.0,31.8,32.0,41.0,34.0,9.0,0.0,0.0,9.0,5,15,2.0,0.0,Bournemouth,MF,DF
Lloyd Kelly,eng ENG,20.0,7.1,9.0,6,5.0,4.0,0.0,5.0,9.0,55.6,4.0,73.0,29.0,39.7,39.0,27.0,7.0,11.0,6.0,0.0,5.0,6,15,17.0,1.0,Bournemouth,DF,
Arnaut Groeneveld,nl NED,22.0,7.0,6.0,5,3.0,2.0,1.0,2.0,7.0,28.6,5.0,78.0,32.0,41.0,28.0,27.0,23.0,3.0,0.0,0.0,3.0,8,14,8.0,1.0,Bournemouth,MF,
Andrew Surman,eng ENG,32.0,2.6,5.0,2,2.0,3.0,0.0,3.0,4.0,75.0,1.0,45.0,11.0,24.4,19.0,20.0,6.0,4.0,0.0,0.0,4.0,1,6,6.0,0.0,Bournemouth,MF,
Charlie Daniels,eng ENG,32.0,1.4,1.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,26.0,5.0,19.2,20.0,6.0,0.0,5.0,1.0,0.0,4.0,1,2,4.0,1.0,Bournemouth,DF,
Jack Simpson,eng ENG,22.0,2.7,5.0,2,5.0,0.0,0.0,2.0,6.0,33.3,4.0,32.0,4.0,12.5,17.0,13.0,2.0,2.0,0.0,0.0,2.0,2,7,13.0,1.0,Bournemouth,DF,
Mark Travers,ie IRL,20.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,Bournemouth,GK,
Jordon Ibe,eng ENG,23.0,0.6,3.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,Bournemouth,DF,
Sam Surridge,eng ENG,21.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,17.6,0.0,8.0,9.0,1.0,0.0,0.0,1.0,1,1,0.0,0.0,Bournemouth,FW,
Mathew Ryan,au AUS,27.0,38.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,4.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.0,4.0,Brighton,GK,
Lewis Dunk,eng ENG,27.0,35.9,43.0,28,31.0,12.0,0.0,13.0,41.0,31.7,28.0,248.0,107.0,43.1,164.0,72.0,12.0,71.0,37.0,3.0,34.0,54,97,162.0,1.0,Brighton,DF,
Dan Burn,eng ENG,27.0,32.0,63.0,36,34.0,23.0,6.0,24.0,56.0,42.9,32.0,465.0,164.0,35.3,251.0,161.0,53.0,67.0,22.0,0.0,45.0,37,100,148.0,0.0,Brighton,DF,
Davy Pröpper,nl NED,27.0,31.4,58.0,38,29.0,23.0,6.0,22.0,68.0,32.4,46.0,484.0,144.0,29.8,195.0,235.0,54.0,39.0,11.0,0.0,28.0,30,88,43.0,2.0,Brighton,MF,
Adam Webster,eng ENG,24.0,29.6,37.0,25,25.0,10.0,2.0,16.0,36.0,44.4,20.0,222.0,86.0,38.7,146.0,67.0,9.0,66.0,31.0,0.0,35.0,43,80,182.0,3.0,Brighton,DF,
Neal Maupay,fr FRA,22.0,30.7,28.0,17,8.0,13.0,7.0,8.0,36.0,22.2,28.0,703.0,185.0,26.3,70.0,278.0,355.0,31.0,4.0,0.0,27.0,5,33,7.0,0.0,Brighton,FW,
Dale Stephens,eng ENG,30.0,28.1,76.0,40,32.0,35.0,9.0,21.0,71.0,29.6,50.0,465.0,150.0,32.3,206.0,224.0,35.0,43.0,13.0,1.0,30.0,58,134,46.0,3.0,Brighton,MF,
Aaron Mooy,au AUS,28.0,23.2,43.0,31,13.0,19.0,11.0,8.0,45.0,17.8,37.0,421.0,125.0,29.7,111.0,198.0,112.0,48.0,7.0,1.0,41.0,23,66,29.0,0.0,Brighton,MF,FW
Martín Montoya,es ESP,28.0,21.1,49.0,28,30.0,14.0,5.0,22.0,50.0,44.0,28.0,375.0,92.0,24.5,163.0,159.0,53.0,41.0,6.0,0.0,35.0,29,78,55.0,1.0,Brighton,DF,
Leandro Trossard,be BEL,24.0,22.3,28.0,16,13.0,12.0,3.0,9.0,39.0,23.1,30.0,373.0,100.0,26.8,72.0,169.0,132.0,29.0,2.0,0.0,27.0,8,36,5.0,0.0,Brighton,FW,MF
Pascal Groß,de GER,28.0,20.0,33.0,21,6.0,19.0,8.0,8.0,32.0,25.0,24.0,395.0,103.0,26.1,81.0,195.0,119.0,27.0,2.0,0.0,25.0,9,42,11.0,0.0,Brighton,FW,MF
Yves Bissouma,ml MLI,22.0,14.0,58.0,36,35.0,20.0,3.0,18.0,38.0,47.4,20.0,308.0,90.0,29.2,126.0,143.0,39.0,28.0,4.0,0.0,24.0,22,80,22.0,0.0,Brighton,MF,
Aaron Connolly,ie IRL,19.0,14.0,12.0,8,1.0,5.0,6.0,3.0,12.0,25.0,9.0,234.0,69.0,29.5,14.0,94.0,126.0,8.0,1.0,0.0,7.0,0,12,1.0,0.0,Brighton,FW,
Shane Duffy,ie IRL,27.0,13.8,16.0,9,10.0,5.0,1.0,4.0,18.0,22.2,14.0,100.0,34.0,34.0,71.0,27.0,2.0,21.0,8.0,0.0,13.0,21,37,116.0,0.0,Brighton,DF,
Steven Alzate,co COL,20.0,13.2,28.0,23,23.0,3.0,2.0,10.0,22.0,45.5,12.0,235.0,77.0,32.8,99.0,94.0,42.0,26.0,3.0,0.0,23.0,13,41,14.0,0.0,Brighton,MF,DF
Solly March,eng ENG,25.0,12.7,26.0,17,16.0,8.0,2.0,9.0,21.0,42.9,12.0,158.0,44.0,27.8,54.0,57.0,47.0,22.0,3.0,0.0,19.0,21,47,19.0,1.0,Brighton,DF,FW
Glenn Murray,eng ENG,35.0,8.9,3.0,2,0.0,2.0,1.0,0.0,6.0,0.0,6.0,144.0,35.0,24.3,10.0,74.0,60.0,6.0,1.0,0.0,5.0,1,4,9.0,0.0,Brighton,FW,
Bernardo,br BRA,24.0,7.5,28.0,16,14.0,5.0,9.0,12.0,19.0,63.2,7.0,129.0,44.0,34.1,56.0,48.0,25.0,16.0,3.0,0.0,13.0,7,35,25.0,0.0,Brighton,DF,
