player,nationality,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,team,Pos1,Pos2
Kevin Danso,at AUT,20.0,3.1,8.0,4,4.0,4.0,0.0,5.0,8.0,62.5,3.0,41.0,10.0,24.4,26.0,13.0,2.0,9.0,4.0,0.0,5.0,3,11,15.0,0.0,Southampton,DF,
Jake Vokins,eng ENG,19.0,1.0,2.0,0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,13.0,6.0,46.2,4.0,5.0,4.0,1.0,0.0,0.0,1.0,0,2,1.0,0.0,Southampton,DF,
Nathan Tella,eng ENG,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Southampton,FW,
Toby Alderweireld,be BEL,30.0,32.9,44.0,24,24.0,17.0,3.0,14.0,36.0,38.9,22.0,258.0,83.0,32.2,169.0,79.0,10.0,69.0,34.0,1.0,35.0,26,70,229.0,3.0,Tottenham,DF,
Serge Aurier,ci CIV,26.0,30.0,98.0,55,66.0,26.0,6.0,32.0,61.0,52.5,29.0,521.0,153.0,29.4,262.0,187.0,72.0,58.0,7.0,0.0,51.0,43,141,105.0,1.0,Tottenham,DF,
Harry Kane,eng ENG,26.0,28.7,20.0,14,5.0,13.0,2.0,6.0,19.0,31.6,13.0,448.0,100.0,22.3,22.0,219.0,207.0,31.0,12.0,0.0,19.0,5,25,30.0,0.0,Tottenham,FW,
Son Heung-min,kr KOR,27.0,27.5,33.0,21,15.0,15.0,3.0,11.0,66.0,16.7,55.0,544.0,133.0,24.4,130.0,247.0,167.0,28.0,0.0,0.0,28.0,19,52,19.0,0.0,Tottenham,FW,MF
Moussa Sissoko,fr FRA,29.0,27.2,56.0,35,36.0,19.0,1.0,20.0,50.0,40.0,30.0,437.0,126.0,28.8,219.0,167.0,51.0,38.0,5.0,0.0,33.0,31,87,48.0,0.0,Tottenham,MF,
Davinson Sánchez,co COL,23.0,27.0,49.0,36,37.0,12.0,0.0,17.0,52.0,32.7,35.0,278.0,105.0,37.8,189.0,83.0,6.0,56.0,29.0,0.0,27.0,34,83,160.0,2.0,Tottenham,DF,
Harry Winks,eng ENG,23.0,24.7,42.0,23,19.0,21.0,2.0,19.0,59.0,32.2,40.0,435.0,130.0,29.9,196.0,202.0,37.0,31.0,9.0,0.0,22.0,37,79,33.0,0.0,Tottenham,MF,
Lucas Moura,br BRA,26.0,24.9,53.0,33,19.0,21.0,13.0,12.0,60.0,20.0,48.0,532.0,144.0,27.1,111.0,284.0,137.0,40.0,2.0,0.0,38.0,15,68,21.0,0.0,Tottenham,FW,MF
Dele Alli,eng ENG,23.0,20.5,41.0,29,10.0,24.0,7.0,8.0,32.0,25.0,24.0,479.0,135.0,28.2,108.0,234.0,137.0,53.0,7.0,0.0,46.0,14,55,17.0,0.0,Tottenham,MF,FW
Hugo Lloris,fr FRA,32.0,20.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,2.0,Tottenham,GK,
Jan Vertonghen,be BEL,32.0,18.3,31.0,21,17.0,13.0,1.0,10.0,20.0,50.0,10.0,154.0,51.0,33.1,98.0,49.0,7.0,30.0,10.0,0.0,20.0,31,62,116.0,0.0,Tottenham,DF,
Paulo Gazzaniga,ar ARG,27.0,17.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,GK,
Ben Davies,wal WAL,26.0,15.9,29.0,13,13.0,13.0,3.0,5.0,24.0,20.8,19.0,214.0,63.0,29.4,98.0,91.0,25.0,43.0,13.0,0.0,30.0,24,53,67.0,1.0,Tottenham,DF,
Giovani Lo Celso,ar ARG,23.0,16.6,51.0,33,13.0,31.0,7.0,9.0,53.0,17.0,44.0,420.0,134.0,31.9,141.0,211.0,68.0,29.0,6.0,0.0,23.0,12,63,20.0,1.0,Tottenham,MF,FW
Eric Dier,eng ENG,25.0,14.9,25.0,14,13.0,10.0,2.0,6.0,22.0,27.3,16.0,204.0,54.0,26.5,92.0,93.0,19.0,26.0,11.0,0.0,15.0,19,44,78.0,0.0,Tottenham,DF,MF
Érik Lamela,ar ARG,27.0,13.5,27.0,21,8.0,15.0,4.0,5.0,22.0,22.7,17.0,315.0,88.0,27.9,81.0,150.0,84.0,19.0,3.0,0.0,16.0,7,34,8.0,0.0,Tottenham,MF,FW
Tanguy Ndombele,fr FRA,22.0,11.2,27.0,19,12.0,14.0,1.0,10.0,27.0,37.0,17.0,226.0,56.0,24.8,79.0,107.0,40.0,27.0,4.0,0.0,23.0,13,40,8.0,0.0,Tottenham,MF,
Christian Eriksen,dk DEN,27.0,12.2,19.0,12,12.0,6.0,1.0,5.0,23.0,21.7,18.0,260.0,55.0,21.2,83.0,126.0,51.0,19.0,1.0,0.0,18.0,11,30,11.0,0.0,Tottenham,MF,FW
Danny Rose,eng ENG,29.0,9.9,16.0,13,5.0,7.0,4.0,7.0,17.0,41.2,10.0,103.0,34.0,33.0,47.0,35.0,21.0,23.0,7.0,0.0,16.0,7,23,34.0,0.0,Tottenham,DF,
Steven Bergwijn,nl NED,21.0,7.8,5.0,4,1.0,3.0,1.0,2.0,10.0,20.0,8.0,117.0,34.0,29.1,26.0,68.0,23.0,11.0,0.0,0.0,11.0,3,8,7.0,0.0,Tottenham,FW,MF
Japhet Tanganga,eng ENG,20.0,5.8,20.0,15,14.0,5.0,1.0,9.0,19.0,47.4,10.0,95.0,30.0,31.6,52.0,38.0,5.0,12.0,5.0,1.0,7.0,11,31,33.0,1.0,Tottenham,DF,
Ryan Sessegnon,eng ENG,19.0,3.8,5.0,0,2.0,3.0,0.0,2.0,5.0,40.0,3.0,51.0,11.0,21.6,21.0,19.0,11.0,4.0,0.0,0.0,4.0,1,6,15.0,0.0,Tottenham,DF,
Kyle Walker-Peters,eng ENG,22.0,2.7,5.0,3,5.0,0.0,0.0,1.0,5.0,20.0,4.0,36.0,12.0,33.3,19.0,11.0,6.0,6.0,2.0,0.0,4.0,2,7,9.0,0.0,Tottenham,DF,
Oliver Skipp,eng ENG,18.0,0.9,3.0,2,1.0,2.0,0.0,1.0,2.0,50.0,1.0,31.0,6.0,19.4,14.0,14.0,3.0,3.0,1.0,0.0,2.0,0,3,0.0,0.0,Tottenham,MF,DF
Juan Foyth,ar ARG,21.0,0.8,7.0,4,5.0,1.0,1.0,2.0,3.0,66.7,1.0,14.0,5.0,35.7,10.0,4.0,0.0,2.0,0.0,0.0,2.0,2,9,4.0,0.0,Tottenham,DF,
Gedson Fernandes,pt POR,20.0,0.8,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,5.0,27.8,7.0,7.0,4.0,1.0,0.0,0.0,1.0,1,2,0.0,0.0,Tottenham,MF,DF
Victor Wanyama,ke KEN,28.0,0.3,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0,1,1.0,0.0,Tottenham,MF,
Troy Parrott,ie IRL,17.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,MF,
Georges-Kévin N'Koudou,fr FRA,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,42.9,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,FW,
Ben Foster,eng ENG,36.0,38.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1.0,2.0,Watford,GK,
Abdoulaye Doucouré,fr FRA,26.0,35.1,70.0,49,29.0,30.0,11.0,16.0,60.0,26.7,44.0,947.0,238.0,25.1,268.0,463.0,216.0,59.0,9.0,0.0,50.0,32,102,45.0,0.0,Watford,MF,
Étienne Capoue,fr FRA,31.0,29.2,80.0,54,43.0,31.0,6.0,34.0,89.0,38.2,55.0,662.0,172.0,26.0,288.0,293.0,81.0,53.0,10.0,0.0,43.0,62,142,70.0,0.0,Watford,MF,
Craig Cathcart,nir NIR,30.0,27.6,37.0,26,21.0,15.0,1.0,10.0,30.0,33.3,20.0,195.0,68.0,34.9,112.0,75.0,8.0,35.0,16.0,1.0,19.0,22,59,195.0,2.0,Watford,DF,
Will Hughes,eng ENG,24.0,25.0,80.0,49,30.0,37.0,13.0,27.0,86.0,31.4,59.0,676.0,181.0,26.8,198.0,334.0,144.0,66.0,9.0,0.0,57.0,35,115,30.0,0.0,Watford,MF,FW
Craig Dawson,eng ENG,29.0,26.2,30.0,19,15.0,13.0,2.0,14.0,31.0,45.2,17.0,185.0,73.0,39.5,107.0,66.0,12.0,56.0,35.0,1.0,21.0,34,64,165.0,1.0,Watford,DF,
Christian Kabasele,be BEL,28.0,25.0,40.0,24,32.0,8.0,0.0,16.0,36.0,44.4,20.0,247.0,85.0,34.4,141.0,88.0,18.0,55.0,28.0,0.0,27.0,37,77,171.0,2.0,Watford,DF,
Kiko Femenía,es ESP,28.0,24.9,62.0,32,44.0,15.0,3.0,26.0,71.0,36.6,45.0,385.0,97.0,25.2,210.0,139.0,36.0,35.0,2.0,0.0,33.0,37,99,62.0,1.0,Watford,DF,
Troy Deeney,eng ENG,31.0,24.7,24.0,17,2.0,14.0,8.0,9.0,30.0,30.0,21.0,458.0,107.0,23.4,53.0,226.0,179.0,20.0,2.0,0.0,18.0,11,35,22.0,0.0,Watford,FW,
Gerard Deulofeu,es ESP,25.0,23.3,29.0,21,15.0,8.0,6.0,13.0,66.0,19.7,53.0,511.0,133.0,26.0,113.0,208.0,190.0,16.0,0.0,0.0,16.0,24,53,6.0,0.0,Watford,FW,
Ismaila Sarr,sn SEN,21.0,22.5,25.0,19,13.0,5.0,7.0,5.0,22.0,22.7,17.0,421.0,103.0,24.5,107.0,180.0,134.0,20.0,3.0,0.0,17.0,15,40,6.0,0.0,Watford,FW,MF
Adam Masina,it ITA,25.0,20.2,40.0,25,26.0,11.0,3.0,14.0,45.0,31.1,31.0,263.0,77.0,29.3,120.0,105.0,38.0,41.0,13.0,2.0,28.0,28,68,99.0,2.0,Watford,DF,
Roberto Pereyra,ar ARG,28.0,18.3,17.0,10,9.0,4.0,4.0,5.0,29.0,17.2,24.0,340.0,90.0,26.5,74.0,155.0,111.0,38.0,1.0,0.0,37.0,12,29,5.0,1.0,Watford,FW,MF
Adrian Mariappa,jm JAM,32.0,16.8,25.0,12,18.0,5.0,2.0,11.0,38.0,28.9,27.0,197.0,57.0,28.9,114.0,64.0,19.0,35.0,9.0,0.0,26.0,10,35,93.0,1.0,Watford,DF,
José Holebas,gr GRE,35.0,11.4,25.0,12,20.0,5.0,0.0,6.0,25.0,24.0,19.0,179.0,59.0,33.0,94.0,63.0,22.0,23.0,3.0,0.0,20.0,2,27,40.0,0.0,Watford,DF,
Tom Cleverley,eng ENG,29.0,10.8,27.0,17,11.0,14.0,2.0,11.0,44.0,25.0,33.0,293.0,85.0,29.0,99.0,145.0,49.0,20.0,4.0,0.0,16.0,9,36,16.0,0.0,Watford,MF,
Nathaniel Chalobah,eng ENG,24.0,10.3,33.0,19,10.0,16.0,7.0,9.0,27.0,33.3,18.0,227.0,65.0,28.6,76.0,112.0,39.0,13.0,5.0,0.0,8.0,16,49,32.0,0.0,Watford,MF,
Danny Welbeck,eng ENG,28.0,9.1,10.0,9,4.0,5.0,1.0,1.0,11.0,9.1,10.0,168.0,52.0,31.0,33.0,77.0,58.0,12.0,2.0,0.0,10.0,5,15,6.0,0.0,Watford,FW,MF
Andre Gray,eng ENG,28.0,8.4,5.0,5,0.0,1.0,4.0,1.0,1.0,100.0,0.0,161.0,43.0,26.7,13.0,61.0,87.0,3.0,1.0,0.0,2.0,1,6,2.0,0.0,Watford,FW,
Daryl Janmaat,nl NED,30.0,6.7,16.0,6,7.0,5.0,4.0,6.0,17.0,35.3,11.0,137.0,31.0,22.6,55.0,53.0,29.0,14.0,2.0,0.0,12.0,6,22,25.0,0.0,Watford,DF,
Dimitri Foulquier,fr FRA,26.0,0.7,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,6.0,33.3,6.0,9.0,3.0,2.0,0.0,0.0,2.0,2,3,1.0,0.0,Watford,MF,DF
Sebastian Prödl,at AUT,32.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,Watford,DF,
Ignacio Pussetto,ar ARG,23.0,0.8,6.0,3,3.0,2.0,1.0,3.0,9.0,33.3,6.0,38.0,8.0,21.1,19.0,17.0,2.0,3.0,1.0,1.0,2.0,3,9,4.0,0.0,Watford,FW,DF
Isaac Success,ng NGA,23.0,0.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,14.3,0.0,3.0,11.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,Watford,FW,MF
João Pedro,br BRA,17.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,Watford,FW,MF
Domingos Quina,pt POR,19.0,0.2,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,16.0,3.0,18.8,5.0,7.0,4.0,2.0,0.0,0.0,2.0,0,1,0.0,0.0,Watford,MF,
Declan Rice,eng ENG,20.0,38.0,122.0,89,66.0,52.0,4.0,32.0,95.0,33.7,63.0,819.0,237.0,28.9,386.0,385.0,48.0,68.0,9.0,0.0,59.0,78,200,62.0,0.0,West Ham,MF,
Mark Noble,eng ENG,32.0,29.7,50.0,36,19.0,25.0,6.0,16.0,69.0,23.2,53.0,502.0,136.0,27.1,159.0,255.0,88.0,29.0,6.0,0.0,23.0,21,71,14.0,0.0,West Ham,MF,
Angelo Ogbonna,it ITA,31.0,31.0,45.0,34,29.0,12.0,4.0,14.0,36.0,38.9,22.0,313.0,117.0,37.4,224.0,73.0,16.0,78.0,34.0,0.0,44.0,32,77,171.0,0.0,West Ham,DF,
Issa Diop,fr FRA,22.0,30.7,32.0,16,22.0,10.0,0.0,15.0,32.0,46.9,17.0,243.0,84.0,34.6,156.0,79.0,8.0,47.0,21.0,0.0,26.0,46,78,190.0,3.0,West Ham,DF,
Aaron Cresswell,eng ENG,29.0,30.3,48.0,29,25.0,18.0,5.0,24.0,59.0,40.7,35.0,355.0,118.0,33.2,185.0,130.0,40.0,64.0,10.0,0.0,54.0,35,83,92.0,2.0,West Ham,DF,
Ryan Fredericks,eng ENG,26.0,24.9,86.0,48,63.0,15.0,8.0,33.0,65.0,50.8,32.0,325.0,97.0,29.8,196.0,85.0,44.0,42.0,9.0,1.0,33.0,26,112,91.0,0.0,West Ham,DF,
Łukasz Fabiański,pl POL,34.0,23.5,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,2.0,West Ham,GK,
Sébastien Haller,fr FRA,25.0,25.2,21.0,17,10.0,9.0,2.0,3.0,28.0,10.7,25.0,571.0,126.0,22.1,43.0,304.0,224.0,34.0,7.0,0.0,27.0,8,29,24.0,1.0,West Ham,FW,
Pablo Fornals,es ESP,23.0,24.1,42.0,29,17.0,18.0,7.0,16.0,70.0,22.9,54.0,597.0,156.0,26.1,153.0,275.0,169.0,51.0,1.0,0.0,50.0,24,66,10.0,0.0,West Ham,MF,FW
Felipe Anderson,br BRA,26.0,16.6,45.0,30,20.0,18.0,7.0,11.0,48.0,22.9,37.0,370.0,104.0,28.1,92.0,189.0,89.0,21.0,1.0,0.0,20.0,21,66,14.0,0.0,West Ham,MF,FW
Michail Antonio,eng ENG,29.0,19.6,14.0,10,5.0,4.0,5.0,2.0,14.0,14.3,12.0,337.0,78.0,23.1,31.0,151.0,155.0,26.0,5.0,0.0,21.0,9,23,9.0,0.0,West Ham,FW,
Robert Snodgrass,sco SCO,31.0,16.8,27.0,10,17.0,9.0,1.0,10.0,40.0,25.0,30.0,367.0,90.0,24.5,118.0,185.0,64.0,21.0,2.0,0.0,19.0,5,32,16.0,0.0,West Ham,MF,FW
Manuel Lanzini,ar ARG,26.0,15.3,11.0,9,6.0,3.0,2.0,5.0,37.0,13.5,32.0,344.0,76.0,22.1,77.0,198.0,69.0,12.0,1.0,0.0,11.0,9,20,4.0,0.0,West Ham,MF,FW
Fabián Balbuena,py PAR,27.0,13.1,18.0,11,14.0,3.0,1.0,6.0,26.0,23.1,20.0,116.0,40.0,34.5,91.0,22.0,3.0,27.0,7.0,0.0,20.0,26,44,93.0,1.0,West Ham,DF,
Tomáš Souček,cz CZE,24.0,11.6,35.0,25,15.0,17.0,3.0,5.0,19.0,26.3,14.0,240.0,77.0,32.1,96.0,102.0,42.0,16.0,3.0,0.0,13.0,22,57,38.0,0.0,West Ham,MF,
Jarrod Bowen,eng ENG,22.0,10.2,19.0,13,6.0,8.0,5.0,5.0,19.0,26.3,14.0,174.0,40.0,23.0,67.0,64.0,43.0,15.0,0.0,0.0,15.0,13,32,5.0,0.0,West Ham,FW,
Andriy Yarmolenko,ua UKR,29.0,11.0,15.0,10,7.0,7.0,1.0,5.0,21.0,23.8,16.0,167.0,46.0,27.5,41.0,76.0,50.0,8.0,1.0,0.0,7.0,6,21,6.0,0.0,West Ham,MF,FW
Arthur Masuaku,cd COD,25.0,10.4,43.0,27,28.0,12.0,3.0,11.0,30.0,36.7,19.0,223.0,65.0,29.1,128.0,81.0,14.0,29.0,3.0,0.0,26.0,13,56,29.0,1.0,West Ham,DF,
Roberto,es ESP,33.0,7.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,West Ham,GK,
Pablo Zabaleta,ar ARG,34.0,6.6,15.0,10,9.0,5.0,1.0,4.0,15.0,26.7,11.0,93.0,27.0,29.0,53.0,25.0,15.0,16.0,3.0,0.0,13.0,13,28,20.0,0.0,West Ham,DF,
Jeremy Ngakia,eng ENG,18.0,4.9,19.0,12,16.0,3.0,0.0,7.0,23.0,30.4,16.0,112.0,34.0,30.4,79.0,29.0,4.0,11.0,1.0,0.0,10.0,7,26,17.0,0.0,West Ham,DF,
David Martin,eng ENG,33.0,4.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,1.0,West Ham,GK,
Ben Johnson,eng ENG,19.0,3.0,8.0,4,5.0,2.0,1.0,4.0,6.0,66.7,2.0,36.0,6.0,16.7,19.0,10.0,7.0,8.0,3.0,0.0,5.0,3,11,16.0,0.0,West Ham,DF,
Jack Wilshere,eng ENG,27.0,2.4,1.0,0,0.0,1.0,0.0,1.0,6.0,16.7,5.0,63.0,21.0,33.3,15.0,34.0,14.0,6.0,0.0,0.0,6.0,1,2,1.0,0.0,West Ham,MF,
Darren Randolph,ie IRL,32.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,West Ham,GK,
Carlos Sánchez,co COL,33.0,1.3,2.0,1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,26.0,6.0,23.1,6.0,18.0,2.0,2.0,0.0,0.0,2.0,2,4,5.0,0.0,West Ham,MF,DF
Javier Hernández,mx MEX,31.0,1.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,6.0,23.1,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,West Ham,FW,
Albian Ajeti,ch SUI,22.0,1.5,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,4.8,3.0,6.0,12.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,West Ham,MF,FW
Nathan Holland,eng ENG,21.0,0.4,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,30.8,5.0,4.0,4.0,1.0,0.0,0.0,1.0,0,1,0.0,0.0,West Ham,MF,
Conor Coady,eng ENG,26.0,38.0,41.0,22,34.0,7.0,0.0,19.0,38.0,50.0,19.0,205.0,69.0,33.7,151.0,54.0,0.0,37.0,18.0,0.0,19.0,27,68,164.0,0.0,Wolves,DF,
Rui Patrício,pt POR,31.0,38.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2,1.0,1.0,Wolves,GK,
Raúl Jiménez,mx MEX,28.0,36.0,29.0,23,7.0,15.0,7.0,2.0,26.0,7.7,24.0,589.0,141.0,23.9,33.0,292.0,264.0,32.0,4.0,0.0,28.0,14,43,31.0,0.0,Wolves,FW,
Rúben Neves,pt POR,22.0,34.0,64.0,42,26.0,33.0,5.0,32.0,104.0,30.8,72.0,688.0,170.0,24.7,301.0,344.0,43.0,70.0,11.0,1.0,59.0,55,119,53.0,0.0,Wolves,MF,
João Moutinho,pt POR,32.0,34.5,92.0,54,42.0,40.0,10.0,43.0,141.0,30.5,98.0,882.0,213.0,24.1,305.0,479.0,98.0,64.0,14.0,0.0,50.0,48,140,30.0,2.0,Wolves,MF,
Jonny Castro,es ESP,25.0,32.1,98.0,61,60.0,29.0,9.0,34.0,90.0,37.8,56.0,722.0,215.0,29.8,326.0,283.0,113.0,79.0,9.0,0.0,70.0,52,150,45.0,2.0,Wolves,DF,
Matt Doherty,ie IRL,27.0,31.5,65.0,33,36.0,25.0,4.0,26.0,50.0,52.0,24.0,379.0,107.0,28.2,181.0,141.0,57.0,64.0,5.0,0.0,59.0,38,103,78.0,1.0,Wolves,DF,
Leander Dendoncker,be BEL,24.0,31.1,68.0,40,41.0,19.0,8.0,23.0,62.0,37.1,39.0,573.0,164.0,28.6,251.0,257.0,65.0,53.0,13.0,0.0,40.0,38,106,95.0,3.0,Wolves,MF,DF
Romain Saïss,ma MAR,29.0,30.1,66.0,30,46.0,20.0,0.0,23.0,45.0,51.1,22.0,343.0,116.0,33.8,228.0,106.0,9.0,58.0,19.0,0.0,39.0,51,117,201.0,1.0,Wolves,DF,
Adama Traoré,es ESP,23.0,28.9,41.0,23,15.0,14.0,12.0,10.0,27.0,37.0,17.0,404.0,108.0,26.7,98.0,198.0,108.0,28.0,4.0,0.0,24.0,18,59,24.0,0.0,Wolves,FW,MF
Diogo Jota,pt POR,22.0,25.4,34.0,21,13.0,18.0,3.0,12.0,44.0,27.3,32.0,573.0,127.0,22.2,124.0,294.0,155.0,17.0,0.0,0.0,17.0,8,42,9.0,0.0,Wolves,FW,MF
Willy Boly,fr FRA,28.0,22.0,61.0,40,42.0,18.0,1.0,23.0,48.0,47.9,25.0,271.0,101.0,37.3,181.0,86.0,4.0,50.0,16.0,0.0,34.0,39,100,136.0,2.0,Wolves,DF,
Pedro Neto,pt POR,19.0,10.4,11.0,5,3.0,8.0,0.0,2.0,15.0,13.3,13.0,239.0,66.0,27.6,52.0,123.0,64.0,5.0,0.0,0.0,5.0,7,18,6.0,0.0,Wolves,FW,MF
Ryan Bennett,eng ENG,29.0,6.7,4.0,3,4.0,0.0,0.0,2.0,7.0,28.6,5.0,61.0,15.0,24.6,41.0,19.0,1.0,15.0,7.0,0.0,8.0,9,13,45.0,1.0,Wolves,DF,
Rúben Vinagre,pt POR,20.0,7.2,25.0,13,18.0,5.0,2.0,11.0,16.0,68.8,5.0,117.0,38.0,32.5,59.0,47.0,11.0,20.0,2.0,0.0,18.0,8,33,20.0,0.0,Wolves,DF,
Patrick Cutrone,it ITA,21.0,3.3,6.0,4,3.0,1.0,2.0,1.0,5.0,20.0,4.0,95.0,26.0,27.4,9.0,43.0,43.0,1.0,1.0,0.0,0.0,2,8,1.0,0.0,Wolves,FW,
Daniel Podence,pt POR,23.0,3.2,2.0,2,1.0,0.0,1.0,0.0,3.0,0.0,3.0,43.0,13.0,30.2,8.0,20.0,15.0,5.0,1.0,0.0,4.0,3,5,3.0,0.0,Wolves,FW,MF
Max Kilman,eng ENG,22.0,2.1,4.0,3,3.0,1.0,0.0,2.0,4.0,50.0,2.0,17.0,5.0,29.4,11.0,5.0,1.0,2.0,1.0,0.0,1.0,4,8,17.0,0.0,Wolves,DF,
Jesús Vallejo,es ESP,22.0,1.8,4.0,3,4.0,0.0,0.0,1.0,3.0,33.3,2.0,20.0,6.0,30.0,8.0,10.0,2.0,4.0,3.0,0.0,1.0,1,5,13.0,0.0,Wolves,DF,
Morgan Gibbs-White,eng ENG,19.0,1.4,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,37.0,5.0,15.0,7.0,2.0,0.0,0.0,2.0,1,2,0.0,0.0,Wolves,MF,FW
Bruno Jordão,pt POR,20.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,Wolves,FW,
