player,nationality,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,31,1.0,39.0,0.0,4.0,16.0,22.0,5.0,39.0,2.0,5.0,40.0,3.0,0.0,27.0,209.0,133.0,52.0,35.0,67.3,1.0,1.0,Arsenal,FW,
Héctor Bellerín,es ESP,25,1.0,73.0,0.0,15.0,33.0,29.0,1.0,64.0,2.0,4.0,50.0,2.0,0.0,48.0,320.0,237.0,58.0,54.0,93.1,1.0,0.0,Arsenal,DF,
Gabriel Dos Santos,br BRA,22,1.0,121.0,13.0,76.0,53.0,1.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,91.0,446.0,219.0,109.0,108.0,99.1,0.0,0.0,Arsenal,DF,
Mohamed Elneny,eg EGY,28,1.0,68.0,2.0,16.0,47.0,9.0,1.0,68.0,1.0,1.0,100.0,1.0,0.0,57.0,284.0,159.0,59.0,58.0,98.3,0.0,0.0,Arsenal,MF,
Rob Holding,eng ENG,24,1.0,97.0,15.0,56.0,47.0,2.0,0.0,95.0,2.0,2.0,100.0,2.0,0.0,72.0,312.0,189.0,83.0,83.0,100.0,0.0,0.0,Arsenal,DF,
Bernd Leno,de GER,28,1.0,33.0,29.0,33.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,18.0,44.0,16.0,21.0,20.0,95.2,0.0,0.0,Arsenal,GK,
Ainsley Maitland-Niles,eng ENG,22,1.0,52.0,2.0,12.0,30.0,14.0,2.0,48.0,0.0,2.0,0.0,0.0,0.0,30.0,120.0,52.0,44.0,38.0,86.4,2.0,0.0,Arsenal,DF,
Kieran Tierney,sco SCO,23,1.0,96.0,3.0,32.0,60.0,10.0,1.0,87.0,1.0,2.0,50.0,1.0,0.0,70.0,348.0,225.0,80.0,75.0,93.8,0.0,1.0,Arsenal,DF,
Alexandre Lacazette,fr FRA,29,1.0,30.0,0.0,1.0,15.0,15.0,6.0,29.0,2.0,2.0,100.0,2.0,0.0,20.0,51.0,13.0,43.0,24.0,55.8,1.0,3.0,Arsenal,FW,
Granit Xhaka,ch SUI,27,0.9,66.0,3.0,13.0,38.0,18.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,40.0,162.0,88.0,51.0,46.0,90.2,0.0,0.0,Arsenal,MF,
Willian,br BRA,31,0.8,40.0,1.0,7.0,17.0,20.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,29.0,236.0,141.0,36.0,30.0,83.3,1.0,1.0,Arsenal,FW,
Nicolas Pépé,ci CIV,25,0.2,12.0,0.0,0.0,5.0,7.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,8.0,54.0,41.0,11.0,8.0,72.7,1.0,0.0,Arsenal,FW,
Dani Ceballos,es ESP,23,0.1,19.0,0.0,4.0,11.0,4.0,2.0,18.0,1.0,1.0,100.0,1.0,1.0,11.0,68.0,60.0,15.0,15.0,100.0,0.0,0.0,Arsenal,MF,
Eddie Nketiah,eng ENG,21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,50.0,0.0,0.0,Arsenal,FW,
Yves Bissouma,ml MLI,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Lewis Dunk,eng ENG,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Tariq Lamptey,eng ENG,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Solly March,eng ENG,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Neal Maupay,fr FRA,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Mathew Ryan,au AUS,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Leandro Trossard,be BEL,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Adam Webster,eng ENG,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Steven Alzate,co COL,21,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Ben White,eng ENG,22,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Adam Lallana,eng ENG,32,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Aaron Connolly,ie IRL,20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,
Pascal Groß,de GER,29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Alireza Jahanbakhsh,ir IRN,26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Marcos Alonso,es ESP,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,MF
Kepa Arrizabalaga,es ESP,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,GK,
Andreas Christensen,dk DEN,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,
Reece James,eng ENG,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,MF
N'Golo Kanté,fr FRA,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,MF,
Mason Mount,eng ENG,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,MF,
Timo Werner,de GER,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,FW,MF
Kurt Zouma,fr FRA,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,
Jorginho,it ITA,28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,MF,
Kai Havertz,de GER,21,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,FW,MF
Ruben Loftus-Cheek,eng ENG,24,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,MF,
Ross Barkley,eng ENG,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,MF,
Callum Hudson-Odoi,eng ENG,19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,FW,MF
César Azpilicueta,es ESP,30,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,
Jordan Ayew,gh GHA,28,1.0,36.0,0.0,3.0,13.0,21.0,2.0,36.0,2.0,4.0,50.0,2.0,0.0,27.0,93.0,41.0,58.0,26.0,44.8,7.0,11.0,Crystal Palace,FW,
Scott Dann,eng ENG,33,1.0,37.0,7.0,24.0,9.0,4.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,8.0,8.0,100.0,0.0,0.0,Crystal Palace,DF,
Vicente Guaita,es ESP,33,1.0,29.0,24.0,29.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,26.0,6.0,6.0,100.0,0.0,0.0,Crystal Palace,GK,
Cheikhou Kouyaté,sn SEN,30,1.0,25.0,5.0,12.0,12.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,11.0,4.0,4.0,100.0,0.0,1.0,Crystal Palace,DF,
James McArthur,sco SCO,32,1.0,44.0,3.0,12.0,30.0,3.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,18.0,71.0,31.0,14.0,14.0,100.0,1.0,0.0,Crystal Palace,MF,
Tyrick Mitchell,eng ENG,20,1.0,57.0,1.0,15.0,30.0,14.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,18.0,83.0,29.0,18.0,17.0,94.4,1.0,2.0,Crystal Palace,DF,
Andros Townsend,eng ENG,29,1.0,40.0,2.0,9.0,19.0,15.0,1.0,38.0,3.0,4.0,75.0,3.0,0.0,29.0,238.0,129.0,28.0,21.0,75.0,3.0,2.0,Crystal Palace,MF,
Joel Ward,eng ENG,30,1.0,45.0,9.0,17.0,16.0,12.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,17.0,7.0,6.0,85.7,0.0,0.0,Crystal Palace,DF,
Wilfried Zaha,ci CIV,27,1.0,28.0,0.0,4.0,11.0,17.0,2.0,28.0,1.0,2.0,50.0,1.0,0.0,20.0,206.0,144.0,44.0,19.0,43.2,6.0,3.0,Crystal Palace,FW,
Jeffrey Schlupp,gh GHA,27,0.9,23.0,0.0,1.0,13.0,10.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,27.0,20.0,16.0,80.0,3.0,3.0,Crystal Palace,MF,
James McCarthy,ie IRL,29,0.8,30.0,1.0,10.0,18.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,8.0,9.0,6.0,66.7,0.0,1.0,Crystal Palace,MF,
Luka Milivojević,rs SRB,29,0.2,15.0,1.0,3.0,10.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,9.0,2.0,2.0,100.0,0.0,0.0,Crystal Palace,MF,
Eberechi Eze,eng ENG,22,0.1,12.0,0.0,2.0,4.0,7.0,1.0,10.0,2.0,3.0,66.7,2.0,0.0,11.0,57.0,35.0,8.0,8.0,100.0,0.0,1.0,Crystal Palace,MF,
Allan,br BRA,29,1.0,72.0,4.0,21.0,51.0,3.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,49.0,253.0,117.0,52.0,51.0,98.1,1.0,0.0,Everton,MF,
Séamus Coleman,ie IRL,31,1.0,67.0,8.0,25.0,38.0,11.0,0.0,57.0,0.0,2.0,0.0,0.0,0.0,40.0,279.0,112.0,34.0,33.0,97.1,1.0,0.0,Everton,DF,
Lucas Digne,fr FRA,27,1.0,88.0,4.0,26.0,48.0,18.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,46.0,156.0,68.0,52.0,51.0,98.1,0.0,0.0,Everton,DF,
Abdoulaye Doucouré,fr FRA,27,1.0,63.0,1.0,13.0,46.0,7.0,1.0,63.0,1.0,1.0,100.0,1.0,0.0,40.0,178.0,80.0,47.0,47.0,100.0,1.0,1.0,Everton,MF,
Michael Keane,eng ENG,27,1.0,68.0,11.0,43.0,24.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,45.0,154.0,62.0,52.0,52.0,100.0,0.0,1.0,Everton,DF,
Yerry Mina,co COL,25,1.0,68.0,12.0,50.0,22.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,45.0,202.0,116.0,46.0,45.0,97.8,0.0,0.0,Everton,DF,
Jordan Pickford,eng ENG,26,1.0,41.0,39.0,41.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,26.0,149.0,65.0,24.0,24.0,100.0,0.0,0.0,Everton,GK,
Richarlison,br BRA,23,1.0,69.0,2.0,13.0,37.0,26.0,9.0,67.0,7.0,7.0,100.0,7.0,0.0,59.0,466.0,283.0,53.0,48.0,90.6,4.0,3.0,Everton,FW,
James Rodríguez,co COL,29,1.0,70.0,1.0,9.0,48.0,15.0,2.0,69.0,2.0,3.0,66.7,3.0,0.0,45.0,256.0,76.0,57.0,53.0,93.0,1.0,0.0,Everton,FW,
Dominic Calvert-Lewin,eng ENG,23,1.0,20.0,0.0,0.0,11.0,10.0,4.0,20.0,1.0,1.0,100.0,1.0,0.0,12.0,142.0,59.0,27.0,17.0,63.0,1.0,0.0,Everton,FW,
André Gomes,pt POR,27,0.7,47.0,1.0,10.0,32.0,8.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,38.0,230.0,103.0,43.0,41.0,95.3,2.0,2.0,Everton,MF,
Gylfi Sigurðsson,is ISL,30,0.3,16.0,0.0,5.0,11.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,9.0,10.0,10.0,100.0,1.0,0.0,Everton,MF,
Moise Kean,it ITA,20,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,23.0,6.0,1.0,1.0,100.0,1.0,0.0,Everton,FW,
Tom Davies,eng ENG,22,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,FW,
Joe Bryan,eng ENG,26,1.0,66.0,2.0,18.0,30.0,22.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,27.0,161.0,88.0,47.0,44.0,93.6,0.0,0.0,Fulham,DF,
Tom Cairney,sco SCO,29,1.0,82.0,3.0,16.0,52.0,19.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,62.0,291.0,127.0,72.0,69.0,95.8,0.0,0.0,Fulham,MF,
Ivan Cavaleiro,pt POR,26,1.0,41.0,4.0,11.0,23.0,11.0,0.0,41.0,2.0,3.0,66.7,2.0,0.0,29.0,226.0,85.0,41.0,34.0,82.9,2.0,1.0,Fulham,FW,
Michael Hector,jm JAM,28,1.0,72.0,10.0,39.0,34.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,45.0,136.0,74.0,55.0,55.0,100.0,1.0,0.0,Fulham,DF,
Denis Odoi,be BEL,32,1.0,68.0,3.0,21.0,36.0,20.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,44.0,294.0,145.0,46.0,45.0,97.8,0.0,0.0,Fulham,DF,
Tim Ream,us USA,32,1.0,71.0,19.0,41.0,31.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,43.0,223.0,103.0,53.0,53.0,100.0,0.0,0.0,Fulham,DF,
Harrison Reed,eng ENG,25,1.0,75.0,3.0,20.0,49.0,9.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,46.0,250.0,104.0,64.0,63.0,98.4,0.0,0.0,Fulham,MF,
Marek Rodák,sk SVK,23,1.0,28.0,26.0,28.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,15.0,17.0,17.0,100.0,0.0,0.0,Fulham,GK,
Josh Onomah,eng ENG,23,0.8,31.0,2.0,3.0,18.0,11.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,20.0,108.0,46.0,29.0,24.0,82.8,2.0,2.0,Fulham,MF,
Aboubakar Kamara,fr FRA,25,0.7,26.0,0.0,1.0,13.0,14.0,1.0,22.0,0.0,2.0,0.0,0.0,0.0,20.0,114.0,78.0,26.0,18.0,69.2,3.0,3.0,Fulham,FW,
Neeskens Kebano,cd COD,28,0.7,30.0,0.0,3.0,14.0,15.0,1.0,30.0,2.0,3.0,66.7,2.0,0.0,21.0,164.0,72.0,26.0,22.0,84.6,2.0,0.0,Fulham,FW,
Aleksandar Mitrović,rs SRB,25,0.3,7.0,0.0,0.0,3.0,4.0,0.0,7.0,1.0,1.0,100.0,1.0,0.0,6.0,27.0,6.0,12.0,7.0,58.3,1.0,0.0,Fulham,FW,
Andre-Frank Zambo Anguissa,cm CMR,24,0.3,23.0,2.0,4.0,11.0,8.0,0.0,23.0,1.0,1.0,100.0,1.0,0.0,18.0,142.0,73.0,20.0,17.0,85.0,0.0,2.0,Fulham,FW,
Bobby Reid,jm JAM,27,0.2,10.0,1.0,2.0,5.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,6.0,75.0,1.0,0.0,Fulham,MF,
Luke Ayling,eng ENG,28,1.0,83.0,7.0,45.0,32.0,8.0,0.0,68.0,3.0,3.0,100.0,3.0,1.0,40.0,213.0,123.0,47.0,45.0,95.7,2.0,1.0,Leeds United,DF,
Hélder Costa,pt POR,26,1.0,32.0,2.0,11.0,14.0,11.0,2.0,32.0,2.0,3.0,66.7,3.0,1.0,20.0,231.0,168.0,30.0,17.0,56.7,3.0,3.0,Leeds United,MF,
Stuart Dallas,nir NIR,29,1.0,81.0,4.0,38.0,37.0,9.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,39.0,207.0,117.0,46.0,45.0,97.8,2.0,1.0,Leeds United,DF,
Jack Harrison,eng ENG,23,1.0,41.0,3.0,14.0,14.0,15.0,2.0,41.0,3.0,3.0,100.0,3.0,1.0,26.0,222.0,154.0,37.0,23.0,62.2,5.0,1.0,Leeds United,MF,
Robin Koch,de GER,24,1.0,73.0,19.0,59.0,14.0,2.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,41.0,239.0,148.0,46.0,45.0,97.8,0.0,1.0,Leeds United,DF,
Illan Meslier,fr FRA,20,1.0,62.0,59.0,62.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,32.0,116.0,53.0,35.0,35.0,100.0,0.0,0.0,Leeds United,GK,
Kalvin Phillips,eng ENG,24,1.0,68.0,4.0,29.0,35.0,6.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,28.0,150.0,45.0,42.0,41.0,97.6,3.0,3.0,Leeds United,MF,
Pascal Struijk,nl NED,20,1.0,79.0,28.0,66.0,15.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,30.0,143.0,63.0,47.0,45.0,95.7,0.0,0.0,Leeds United,DF,
Mateusz Klich,pl POL,30,0.9,46.0,8.0,18.0,21.0,11.0,4.0,46.0,1.0,2.0,50.0,1.0,0.0,21.0,146.0,100.0,38.0,28.0,73.7,1.0,0.0,Leeds United,MF,
Patrick Bamford,eng ENG,26,0.7,17.0,3.0,3.0,8.0,7.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,32.0,23.0,6.0,26.1,1.0,1.0,Leeds United,FW,
Pablo Hernández,es ESP,35,0.7,42.0,0.0,8.0,24.0,13.0,1.0,39.0,0.0,1.0,0.0,0.0,0.0,22.0,103.0,62.0,34.0,32.0,94.1,0.0,0.0,Leeds United,MF,
Tyler Roberts,wal WAL,21,0.3,13.0,1.0,5.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,19.0,9.0,7.0,77.8,0.0,0.0,Leeds United,MF,
Rodrigo,es ESP,29,0.3,6.0,2.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Leeds United,FW,
Jamie Shackleton,eng ENG,20,0.1,6.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,1.0,100.0,1.0,0.0,2.0,9.0,1.0,5.0,4.0,80.0,1.0,0.0,Leeds United,MF,
Harvey Barnes,eng ENG,22,1.0,44.0,1.0,5.0,18.0,25.0,7.0,44.0,1.0,2.0,50.0,1.0,0.0,32.0,319.0,219.0,36.0,31.0,86.1,0.0,2.0,Leicester City,MF,
Timothy Castagne,be BEL,24,1.0,90.0,3.0,32.0,46.0,18.0,2.0,78.0,1.0,1.0,100.0,1.0,0.0,44.0,250.0,146.0,63.0,54.0,85.7,2.0,0.0,Leicester City,DF,
James Justin,eng ENG,22,1.0,80.0,1.0,25.0,37.0,23.0,1.0,64.0,0.0,2.0,0.0,0.0,0.0,42.0,190.0,123.0,44.0,43.0,97.7,1.0,2.0,Leicester City,DF,
Nampalys Mendy,fr FRA,28,1.0,84.0,0.0,19.0,57.0,13.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,61.0,267.0,110.0,70.0,69.0,98.6,2.0,1.0,Leicester City,MF,
Wilfred Ndidi,ng NGA,23,1.0,98.0,10.0,60.0,44.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,65.0,379.0,205.0,79.0,75.0,94.9,1.0,1.0,Leicester City,DF,
Kasper Schmeichel,dk DEN,33,1.0,29.0,23.0,29.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,14.0,59.0,34.0,16.0,15.0,93.8,0.0,0.0,Leicester City,GK,
Çağlar Söyüncü,tr TUR,24,1.0,92.0,8.0,48.0,54.0,2.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,58.0,442.0,295.0,71.0,71.0,100.0,0.0,0.0,Leicester City,DF,
Youri Tielemans,be BEL,23,1.0,97.0,0.0,20.0,60.0,23.0,1.0,89.0,2.0,2.0,100.0,2.0,0.0,58.0,278.0,156.0,77.0,72.0,93.5,0.0,1.0,Leicester City,MF,
Jamie Vardy,eng ENG,33,1.0,17.0,2.0,2.0,7.0,9.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,21.0,28.0,9.0,32.1,2.0,1.0,Leicester City,FW,
Dennis Praet,be BEL,26,0.8,45.0,0.0,6.0,26.0,13.0,5.0,45.0,1.0,1.0,100.0,1.0,0.0,22.0,77.0,25.0,44.0,35.0,79.5,2.0,1.0,Leicester City,MF,
Ayoze Pérez,es ESP,27,0.7,35.0,1.0,3.0,18.0,15.0,3.0,35.0,1.0,1.0,100.0,1.0,0.0,24.0,102.0,39.0,35.0,26.0,74.3,0.0,1.0,Leicester City,MF,
Marc Albrighton,eng ENG,30,0.3,10.0,1.0,1.0,3.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,73.0,41.0,9.0,8.0,88.9,0.0,0.0,Leicester City,MF,
James Maddison,eng ENG,23,0.2,20.0,0.0,0.0,17.0,3.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,62.0,13.0,21.0,16.0,76.2,0.0,0.0,Leicester City,MF,
