player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Mamadou Sakho,fr FRA,DF,29,10.3,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,5,0.59,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,11,1.51,10,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,1,0.33,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,5,2.31,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,2,1.87,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,,,,,,,,,,,,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,1,15.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,6,0.16,3,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Richarlison,br BRA,FW,22,34.1,78,2.29,45,0,10,8,14,10,0.29,5,0,2,1,1,1,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,54,1.85,34,0,2,5,12,3,0.10,2,0,0,0,0,1,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,80,2.81,32,31,4,11,2,8,0.28,4,2,1,1,0,0,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,10,0.35,10,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,13,0.51,8,0,0,5,0,2,0.08,1,0,0,1,0,0,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,17,0.74,9,0,1,6,1,5,0.22,3,0,0,2,0,0,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,24,1.07,17,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,23,1.13,16,2,3,2,0,3,0.15,2,0,0,1,0,0,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,44,2.48,41,0,2,1,0,2,0.11,2,0,0,0,0,0,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,35,1.73,30,3,0,0,2,4,0.20,4,0,0,0,0,0,Matches,Everton
André Gomes,pt POR,MF,26,16.2,29,1.79,25,1,2,0,1,2,0.12,1,0,0,0,1,0,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,32,2.24,24,0,3,3,2,4,0.28,3,0,0,1,0,0,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,47,3.30,39,0,5,2,1,5,0.35,3,0,2,0,0,0,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,17,1.29,16,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,27,2.85,14,0,8,3,2,1,0.11,0,0,0,1,0,0,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,9,1.84,7,2,0,0,0,1,0.20,1,0,0,0,0,0,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,12,2.67,8,3,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,7,2.16,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,5,0.13,1,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,22,0.59,17,0,1,3,1,4,0.11,3,0,0,0,1,0,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,13,0.39,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,63,1.87,40,0,11,6,5,12,0.36,6,0,2,1,2,1,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,93,2.96,80,5,1,2,5,9,0.29,9,0,0,0,0,0,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,36,1.21,33,0,1,1,1,4,0.13,4,0,0,0,0,0,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,168,5.76,76,53,16,7,16,12,0.41,7,4,1,0,0,0,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,60,2.14,50,2,5,0,3,9,0.32,8,0,0,0,1,0,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,62,2.35,53,7,1,1,0,7,0.27,7,0,0,0,0,0,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,69,3.10,53,1,7,2,6,11,0.49,8,1,1,0,1,0,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,77,3.33,59,0,8,5,5,15,0.65,12,0,2,1,0,0,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,23,1.83,15,1,2,3,1,4,0.32,3,0,0,0,0,1,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,39,3.66,24,0,8,4,3,5,0.47,3,0,1,0,1,0,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,23,2.05,20,0,0,0,3,2,0.18,2,0,0,0,0,0,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,12,1.21,11,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,26,2.70,22,2,1,1,0,5,0.52,5,0,0,0,0,0,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,7,0.82,7,0,0,0,0,3,0.35,3,0,0,0,0,0,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,6,1.24,4,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,8,2.47,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,29,4.20,25,1,1,1,1,6,0.87,5,0,0,0,1,0,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,2,0.54,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,15,5.06,15,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,2,16.36,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,151,4.28,91,50,3,5,1,24,0.68,14,7,0,2,0,1,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,45,1.38,36,0,5,1,3,3,0.09,3,0,0,0,0,0,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,108,3.12,89,13,5,1,0,20,0.58,16,1,3,0,0,0,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,94,2.83,72,0,15,4,3,19,0.57,14,0,4,1,0,0,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,118,3.69,76,4,23,10,5,16,0.50,8,2,4,1,1,0,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,107,3.51,85,0,6,3,13,15,0.49,9,0,0,1,5,0,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,4,0.14,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,46,1.85,41,1,1,3,0,7,0.28,6,0,0,1,0,0,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,32,1.39,30,0,1,0,1,3,0.13,3,0,0,0,0,0,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,16,0.72,15,0,0,1,0,4,0.18,3,0,0,1,0,0,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,41,2.48,31,0,3,3,4,4,0.24,1,0,2,0,1,0,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,23,2.21,19,1,0,1,2,4,0.38,4,0,0,0,0,0,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,2,0.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,32,3.53,28,1,2,1,0,5,0.55,5,0,0,0,0,0,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,5,0.58,5,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,5,0.64,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,23,2.89,11,0,6,2,3,4,0.50,0,0,1,1,1,1,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,9,2.12,7,0,1,0,1,1,0.24,1,0,0,0,0,0,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,4,1.57,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,3,1.08,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,4,1.95,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,3,2.14,2,0,1,0,0,1,0.71,1,0,0,0,0,0,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,4,0.12,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,220,7.09,157,39,11,4,9,33,1.06,25,2,2,1,3,0,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,116,3.94,82,1,10,12,11,11,0.37,5,0,0,3,3,0,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,64,2.32,57,0,2,2,3,3,0.11,2,0,0,1,0,0,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,49,1.84,45,0,3,0,1,6,0.23,6,0,0,0,0,0,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,27,1.01,24,0,0,3,0,5,0.19,5,0,0,0,0,0,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,94,4.17,81,2,6,4,1,12,0.53,9,0,2,1,0,0,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,108,5.32,88,1,8,6,5,17,0.84,13,1,1,1,1,0,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,70,3.10,48,0,13,8,1,13,0.58,9,0,3,1,0,0,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,73,3.25,64,2,1,3,3,3,0.13,3,0,0,0,0,0,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,137,6.34,90,13,20,4,10,30,1.39,17,2,5,1,5,0,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,8,0.42,6,0,0,2,0,1,0.05,0,0,0,1,0,0,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,36,2.17,33,1,1,1,0,6,0.36,5,1,0,0,0,0,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,51,3.16,28,0,9,9,5,8,0.50,4,0,1,2,1,0,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,8,0.66,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,31,2.19,30,1,0,0,0,3,0.21,3,0,0,0,0,0,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,43,3.20,32,1,6,2,2,2,0.15,1,0,0,0,1,0,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,11,0.88,11,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,44,4.40,35,2,3,1,3,8,0.80,8,0,0,0,0,0,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,3,0.34,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,14,2.98,13,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,2,0.05,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,30,0.79,28,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,47,1.38,40,2,5,0,0,6,0.18,5,0,1,0,0,0,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,93,3.17,65,2,11,4,10,20,0.68,11,0,4,0,4,1,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,92,3.16,72,0,12,3,5,18,0.62,13,0,2,1,2,0,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,64,2.52,44,0,4,5,11,8,0.31,8,0,0,0,0,0,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,83,3.45,64,8,4,2,5,1,0.04,1,0,0,0,0,0,Matches,Manchester Utd
Scott McTominay,sco SCO,MF,22,19.7,35,1.78,25,0,1,3,5,3,0.15,2,0,0,0,0,1,Matches,Manchester Utd
Luke Shaw,eng ENG,DF,24,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches,Manchester Utd
Nemanja Matić,rs SRB,MF,30,17.6,43,2.45,40,0,2,0,1,4,0.23,4,0,0,0,0,0,Matches,Manchester Utd
Andreas Pereira,br BRA,"MF,FW",23,16.5,57,3.46,44,6,3,2,2,7,0.42,6,1,0,0,0,0,Matches,Manchester Utd
Bruno Fernandes,pt POR,MF,24,13.2,57,4.33,39,12,1,2,3,12,0.91,6,3,0,0,3,0,Matches,Manchester Utd
Paul Pogba,fr FRA,MF,26,13.4,57,4.26,49,0,4,0,4,7,0.52,5,0,1,0,1,0,Matches,Manchester Utd
Mason Greenwood,eng ENG,FW,17,14.7,36,2.45,32,0,2,0,2,7,0.48,7,0,0,0,0,0,Matches,Manchester Utd
Brandon Williams,eng ENG,DF,18,11.2,24,2.15,21,1,1,0,1,1,0.09,0,0,0,0,1,0,Matches,Manchester Utd
Ashley Young,eng ENG,DF,34,10.6,25,2.36,11,13,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",26,10.4,38,3.66,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches,Manchester Utd
Juan Mata,es ESP,"MF,FW",31,8.4,38,4.51,31,3,1,2,1,2,0.24,2,0,0,0,0,0,Matches,Manchester Utd
Axel Tuanzebe,eng ENG,DF,21,2.1,2,0.95,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Timothy Fosu-Mensah,nl NED,DF,21,1.5,3,1.99,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Phil Jones,eng ENG,DF,27,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Eric Bailly,ci CIV,DF,25,1.7,1,0.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Marcos Rojo,ar ARG,DF,29,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Diogo Dalot,pt POR,DF,20,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Odion Ighalo,ng NGA,FW,30,1.1,5,4.46,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Tahith Chong,nl NED,"FW,MF",19,0.4,2,4.86,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Angel Gomes,eng ENG,MF,18,0.2,2,8.57,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
James Garner,eng ENG,MF,18,0.1,1,10.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38.0,2,0.05,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Miguel Almirón,py PAR,"MF,FW",25,33.6,77,2.29,58,0,7,5,7,2,0.06,2,0,0,0,0,0,Matches,Newcastle Utd
Joelinton,br BRA,FW,22,29.8,58,1.95,48,1,2,4,3,3,0.10,3,0,0,0,0,0,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,30,29.1,10,0.34,6,0,1,3,0,3,0.10,1,0,0,2,0,0,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,24,24.7,26,1.05,21,0,0,2,3,3,0.12,1,0,0,1,1,0,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,27,23.5,60,2.55,42,14,3,1,0,6,0.25,3,2,1,0,0,0,Matches,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,25,23.1,7,0.30,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,"MF,FW",22,20.7,87,4.20,52,0,22,6,7,9,0.43,6,0,1,1,1,0,Matches,Newcastle Utd
Fabian Schär,ch SUI,"DF,MF",27,18.6,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,25,17.8,14,0.79,12,1,0,0,1,3,0.17,1,1,0,0,1,0,Matches,Newcastle Utd
Jetro Willems,nl NED,DF,25,16.6,34,2.05,27,3,4,0,0,6,0.36,4,1,1,0,0,0,Matches,Newcastle Utd
Sean Longstaff,eng ENG,MF,21,15.3,31,2.02,19,7,1,2,2,2,0.13,1,0,0,1,0,0,Matches,Newcastle Utd
Matt Ritchie,sco SCO,"DF,MF",29,14.6,44,3.01,17,25,0,1,1,2,0.14,2,0,0,0,0,0,Matches,Newcastle Utd
Paul Dummett,wal WAL,DF,27,13.6,6,0.44,5,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches,Newcastle Utd
Ciaran Clark,ie IRL,DF,29,13.2,1,0.08,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,24,11.3,4,0.35,4,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,Newcastle Utd
DeAndre Yedlin,us USA,DF,26,10.4,15,1.44,13,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Danny Rose,eng ENG,DF,29,9.6,7,0.73,6,1,0,0,0,1,0.10,0,1,0,0,0,0,Matches,Newcastle Utd
Dwight Gayle,eng ENG,FW,28,9.4,12,1.27,7,1,0,2,2,2,0.21,2,0,0,0,0,0,Matches,Newcastle Utd
Nabil Bentaleb,dz ALG,MF,24,8.3,10,1.20,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Christian Atsu,gh GHA,"FW,MF",27,8.3,22,2.64,17,2,2,0,1,3,0.36,2,1,0,0,0,0,Matches,Newcastle Utd
Matthew Longstaff,eng ENG,MF,19,6.4,6,0.94,6,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,30,7.0,20,2.85,19,0,0,0,1,7,1.00,7,0,0,0,0,0,Matches,Newcastle Utd
Valentino Lazaro,at AUT,"DF,MF",23,5.3,8,1.50,4,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Florian Lejeune,fr FRA,DF,28,4.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Yoshinori Mutō,jp JPN,"FW,MF",27,2.4,3,1.27,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Ki Sung-yueng,kr KOR,MF,30,1.5,2,1.31,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Kelland Watts,eng ENG,DF,19,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Newcastle Utd
Max Aarons,eng ENG,DF,19,36.0,54,1.50,42,2,3,3,4,3,0.08,1,1,0,0,1,0,Matches,Norwich City
Tim Krul,nl NED,GK,31,36.0,2,0.06,1,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Norwich City
Teemu Pukki,fi FIN,FW,29,32.1,53,1.65,41,0,5,4,2,5,0.16,3,0,1,0,0,1,Matches,Norwich City
Kenny McLean,sco SCO,MF,27,33.0,58,1.76,46,6,2,2,2,2,0.06,2,0,0,0,0,0,Matches,Norwich City
Ben Godfrey,eng ENG,DF,21,29.4,11,0.37,8,0,0,3,0,1,0.03,1,0,0,0,0,0,Matches,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21,27.7,73,2.64,58,0,6,3,6,5,0.18,5,0,0,0,0,0,Matches,Norwich City
Emi Buendía,ar ARG,"FW,MF",22,27.4,135,4.93,83,30,10,3,9,7,0.26,5,1,0,1,0,0,Matches,Norwich City
Alexander Tettey,no NOR,"MF,DF",33,26.0,18,0.69,16,0,0,2,0,1,0.04,1,0,0,0,0,0,Matches,Norwich City
Jamal Lewis,nir NIR,DF,21,25.6,32,1.25,26,2,3,0,1,1,0.04,1,0,0,0,0,0,Matches,Norwich City
